scalar,RGB_r,RGB_g,RGB_b
0.0,0.0,0.0,0.0
0.00787401574803,0.0361829637519,0.00175999531726,0.0321710772612
0.0157480314961,0.0666376124681,0.00324511662403,0.0631800420914
0.0236220472441,0.0892675105321,0.00427064318216,0.0880205521191
0.0314960629921,0.107271509712,0.005287521135,0.109812813609
0.0393700787402,0.121255803204,0.00637242090841,0.133295641052
0.0472440944882,0.132331647571,0.00756998653377,0.157549798873
0.0551181102362,0.141874584697,0.00865960386899,0.180767017756
0.0629921259843,0.150191894171,0.00967010530958,0.203044793856
0.0708661417323,0.15746987632,0.0107375712634,0.224252975494
0.0787401574803,0.164007806154,0.0117369263568,0.244543172611
0.0866141732283,0.170071239273,0.0126591666366,0.264502295877
0.0944881889764,0.175822741038,0.0135915951437,0.285092832262
0.102362204724,0.181245660047,0.0146236505127,0.306144940274
0.110236220472,0.186402596868,0.0156205041845,0.327734023514
0.11811023622,0.191292863899,0.0167600565529,0.349527056157
0.125984251969,0.196021926514,0.0177794318598,0.371723913842
0.133858267717,0.200631069893,0.0188619537406,0.393963009688
0.141732283465,0.205224713208,0.0198427564679,0.41630021025
0.149606299213,0.209893607336,0.0209333406961,0.438344766587
0.157480314961,0.214757051929,0.0219721348524,0.460152680444
0.165354330709,0.219927686525,0.0230668223221,0.481481983454
0.173228346457,0.225503438696,0.0240512784712,0.502414430588
0.181102362205,0.231575390037,0.0250555255908,0.52273146156
0.188976377953,0.238191686593,0.0259158048578,0.542556852098
0.196850393701,0.245282301422,0.0268571126555,0.561805622799
0.204724409449,0.250232356006,0.0279047749869,0.583928524262
0.212598425197,0.252737329883,0.0290864335449,0.609082018796
0.220472440945,0.251008513787,0.0304423789817,0.638987406143
0.228346456693,0.242399620348,0.0321672818135,0.675384161234
0.236220472441,0.221969803321,0.0344455690792,0.720441727485
0.244094488189,0.17615315244,0.0370840606324,0.778097972091
0.251968503937,0.0695441839845,0.0560332415536,0.834450782487
0.259842519685,0.0391149269605,0.113685641688,0.812783039938
0.267716535433,0.0376083157708,0.155373631265,0.779391726722
0.275590551181,0.0357159446558,0.187624173313,0.745690959761
0.283464566929,0.034356517513,0.214278146055,0.712300722754
0.291338582677,0.0325650462396,0.237061253337,0.680095991053
0.299212598425,0.0310813816976,0.257012703216,0.649301655239
0.307086614173,0.0299690563556,0.274795949828,0.620185449066
0.314960629921,0.0283388951394,0.290882392444,0.593130235998
0.322834645669,0.0274461919302,0.305620319822,0.567934111066
0.330708661417,0.0263089179905,0.319282152146,0.544842971461
0.338582677165,0.0251903575046,0.332077907256,0.523764286197
0.346456692913,0.0242820436627,0.344171803715,0.504591521329
0.354330708661,0.0232520241529,0.355704962979,0.487270518881
0.362204724409,0.0225832244504,0.366775564188,0.471603946716
0.370078740157,0.0222560953873,0.377470557229,0.457467220187
0.377952755906,0.0216742405963,0.387876748704,0.444774498534
0.385826771654,0.0211469410159,0.398044064335,0.43334459857
0.393700787402,0.0204472170808,0.408025576335,0.423050797485
0.40157480315,0.0200044116691,0.417848414388,0.413716973253
0.409448818898,0.0205489369149,0.4275851167,0.404402502088
0.417322834646,0.0209876348933,0.437305463222,0.394736022395
0.425196850394,0.0214416814473,0.447006348724,0.384715324834
0.433070866142,0.0220410995836,0.456684656334,0.374339182328
0.44094488189,0.0222600220019,0.466357314082,0.363587941942
0.448818897638,0.0228675307435,0.476002174775,0.352466693528
0.456692913386,0.0233050802807,0.485637150722,0.340942660543
0.464566929134,0.0236553497813,0.495260601051,0.328996626185
0.472440944882,0.0247454660024,0.504849073806,0.316666355949
0.48031496063,0.0251677221149,0.514444249548,0.303839868528
0.488188976378,0.0257071421092,0.524023229907,0.290554964489
0.496062992126,0.0255810647107,0.533607606541,0.276727724821
0.503937007874,0.0264465967004,0.543150599464,0.262524442477
0.511811023622,0.0266300223013,0.55269741447,0.247788935853
0.51968503937,0.02694731589,0.56222428118,0.232644930879
0.527559055118,0.0273645915488,0.571730674479,0.217158183427
0.535433070866,0.0278246986827,0.581216400071,0.201430102975
0.543307086614,0.0282472214333,0.590681637509,0.185611214859
0.551181102362,0.0295650668117,0.600102160541,0.17010502158
0.55905511811,0.0296179928394,0.609528506965,0.154867029065
0.566929133858,0.0303720104181,0.618912487433,0.140712783933
0.574803149606,0.0306497683418,0.628281210986,0.127999330111
0.582677165354,0.0314621163889,0.637612297383,0.117651551097
0.590551181102,0.031573272325,0.646935020862,0.110065602164
0.59842519685,0.0319454346389,0.656245827426,0.104616524021
0.606299212598,0.0326771646927,0.665542610055,0.101831618451
0.614173228346,0.033130236671,0.674870272558,0.0986291077116
0.622047244094,0.03321073678,0.684256909076,0.0919466245264
0.629921259843,0.0334160137385,0.693696364744,0.0804851498291
0.637795275591,0.0341340382038,0.70318428656,0.0615945009574
0.645669291339,0.0471623266783,0.712491563968,0.0345372037417
0.653543307087,0.103433324942,0.720464910513,0.0344194339496
0.661417322835,0.148270840675,0.728135456724,0.0351495190485
0.669291338583,0.188252169892,0.73553718444,0.0352247699081
0.677165354331,0.226437633904,0.742607948111,0.0361250544151
0.685039370079,0.26312161029,0.749384295926,0.0362931989657
0.692913385827,0.299112843437,0.755831849497,0.0364669999255
0.700787401575,0.334664818536,0.761942195288,0.0366268365034
0.708661417323,0.36992469466,0.767708599459,0.0367556550574
0.716535433071,0.404978953818,0.773125985654,0.0368393032878
0.724409448819,0.439995834521,0.7781696951,0.0377306790616
0.732283464567,0.474749967944,0.782881004646,0.037710056894
0.740157480315,0.509387334608,0.787237710719,0.0376223386408
