scalar,RGB_r,RGB_g,RGB_b
0.0,0.0,0.0,0.0
0.00787401574803,0.0203547875752,0.00621854195633,0.0375367405493
0.0157480314961,0.0407047110683,0.0124370839127,0.0685034652611
0.0236220472441,0.0583195064691,0.018655625869,0.0912347210956
0.0314960629921,0.0724407746216,0.0249064104541,0.110475245571
0.0393700787402,0.0831461934374,0.0313339425471,0.1299274666
0.0472440944882,0.0911502424715,0.0379708809067,0.14986730709
0.0551181102362,0.0970717884123,0.0445281604028,0.170250564496
0.0629921259843,0.103038538019,0.0495854279892,0.191064145314
0.0708661417323,0.109513468527,0.0531020924197,0.212277953857
0.0787401574803,0.116414168895,0.0552271830487,0.233861965725
0.0866141732283,0.123495190164,0.0564189647559,0.255780524486
0.0944881889764,0.130418002808,0.0574025341633,0.277997469692
0.102362204724,0.13718243603,0.0581845564641,0.300501810007
0.110236220472,0.143793669208,0.0587568338698,0.323283693334
0.11811023622,0.150256149709,0.0591098509689,0.346333932218
0.125984251969,0.156573713875,0.0592325550209,0.369643952211
0.133858267717,0.162749681695,0.0591120729781,0.393205741284
0.141732283465,0.168786931835,0.0587333442795,0.417011802044
0.149606299213,0.174687961745,0.058078639078,0.441055107515
0.157480314961,0.18045493632,0.0571269171333,0.465329060729
0.165354330709,0.186089727604,0.0558529597636,0.489827458052
0.173228346457,0.19159394745,0.054226169932,0.514544456053
0.181102362205,0.196968974551,0.052208872318,0.539474541617
0.188976377953,0.202215976924,0.0497538335792,0.564612505038
0.196850393701,0.207335930696,0.0468005160305,0.589953415761
0.204724409449,0.212329635845,0.0432691713287,0.615492600524
0.212598425197,0.217197729402,0.0390417316792,0.641225623629
0.220472440945,0.224893335017,0.0338277967774,0.664535291967
0.228346456693,0.242544615349,0.0267445804106,0.678871813724
0.236220472441,0.259842809804,0.0189760255667,0.693265017399
0.244094488189,0.276860263033,0.0104999341055,0.707714240868
0.251968503937,0.293652515341,0.00129410788722,0.722218839662
0.259842519685,0.310263072317,0.0,0.736778186251
0.267716535433,0.326726590704,0.0,0.751391669361
0.275590551181,0.343071074672,0.0,0.766058693329
0.283464566929,0.359319430996,0.0,0.780778677495
0.291338582677,0.375490595946,0.0,0.795551055618
0.299212598425,0.391600368319,0.0,0.81037527533
0.307086614173,0.407662036157,0.0,0.825250797613
0.314960629921,0.423686855624,0.0,0.840177096301
0.322834645669,0.439684421992,0.0,0.855153657613
0.330708661417,0.455662960637,0.0,0.8701799797
0.338582677165,0.471629557853,0.0,0.885255572221
0.346456692913,0.493186844186,0.0,0.889982577558
0.354330708661,0.536477736588,0.0,0.846837812632
0.362204724409,0.57407637449,0.0,0.804028563068
0.370078740157,0.607290037968,0.0,0.761554903163
0.377952755906,0.636995435935,0.0,0.719415109336
0.385826771654,0.663816284348,0.0,0.677605006165
0.393700787402,0.688216634294,0.0,0.636117060003
0.40157480315,0.710554168576,0.0,0.594939104228
0.409448818898,0.731112635731,0.0,0.554052515408
0.417322834646,0.750122607452,0.0,0.513429550329
0.425196850394,0.767775317847,0.0,0.473029362756
0.433070866142,0.7842322082,0.0,0.432791869539
0.44094488189,0.799631700062,0.0,0.392627963756
0.448818897638,0.814094119281,0.0,0.352403196053
0.456692913386,0.827725350781,0.00743122696819,0.311908998733
0.464566929134,0.840619600094,0.041378138023,0.270808088883
0.472440944882,0.851235750859,0.0752967583715,0.239884224584
0.48031496063,0.857118666192,0.110845946106,0.239726546684
0.488188976378,0.862976265441,0.138971056278,0.23951607894
0.496062992126,0.868808601967,0.163109984336,0.239251758948
0.503937007874,0.874615728271,0.184707456573,0.238932478137
0.511811023622,0.880397695977,0.204526031023,0.23855707868
0.51968503937,0.886154555822,0.223023458001,0.238124350149
0.527559055118,0.891886357638,0.240498559678,0.237633025877
0.535433070866,0.897593150343,0.257158340817,0.237081779007
0.543307086614,0.903274981932,0.273152704754,0.236469218193
0.551181102362,0.908931899465,0.28859400928,0.235793882891
0.55905511811,0.914563949066,0.303568822891,0.235054238234
0.566929133858,0.920171175911,0.318145364952,0.234248669392
0.574803149606,0.925753624228,0.332378414944,0.233375475394
0.582677165354,0.931311337287,0.346312665689,0.232432862324
0.590551181102,0.936844357404,0.359985081497,0.231418935818
0.59842519685,0.942352725934,0.37342659834,0.230331692769
0.606299212598,0.94783648327,0.386663376369,0.229169012133
0.614173228346,0.953295668845,0.39971774016,0.227928644722
0.622047244094,0.958730321127,0.412608896371,0.226608201827
0.629921259843,0.964140477624,0.42535348963,0.225205142514
0.637795275591,0.969526174881,0.437966038838,0.223716759396
0.645669291339,0.974887448485,0.450459283692,0.222140162644
0.653543307087,0.978637770961,0.46415103422,0.220138508771
0.661417322835,0.976784368264,0.482071597004,0.216840853566
0.669291338583,0.974812408269,0.499574808069,0.213376027788
0.677165354331,0.972719635533,0.516707557205,0.209733871078
0.685039370079,0.970503711254,0.533509513697,0.205903038967
0.692913385827,0.96816220847,0.550014556854,0.201870798042
0.700787401575,0.965692606913,0.566251864825,0.197622773169
0.708661417323,0.963092287472,0.582246755994,0.193142632289
0.716535433071,0.960358526256,0.598021348064,0.18841168886
0.724409448819,0.957488488188,0.613595080663,0.183408394054
0.732283464567,0.954479220108,0.628985134313,0.178107678892
0.740157480315,0.951327643325,0.644206769682,0.172480088375
0.748031496063,0.948030545566,0.65927360482,0.166490621223
0.755905511811,0.944584572257,0.674197843593,0.160097143038
0.763779527559,0.940986217077,0.688990465371,0.153248164391
0.771653543307,0.937231811689,0.703661383652,0.145879643279
0.779527559055,0.933317514579,0.71821957958,0.137910232537
