scalar,RGB_r,RGB_g,RGB_b
0.0,0.0028108909432653585,0.00023971464598377364,0.013984975564512399
0.007874015748031496,0.00555022948592639,0.0018868481887758782,0.02448621161964952
0.015748031496062992,0.00950114216168023,0.004142840263807118,0.0389948090767145
0.023622047244094488,0.014670573520415117,0.0069195835979143725,0.05569988403952462
0.031496062992125984,0.021135282687487975,0.010119937814458156,0.07253866730014288
0.03937007874015748,0.029014482723439965,0.013638907889836925,0.08957152869654766
0.047244094488188976,0.03848116481027062,0.01735657987271757,0.10684979559694863
0.05511811023622047,0.04901029875460205,0.02114333431520149,0.12445383997656845
0.06299212598425197,0.05974350740062414,0.02487853824108835,0.14234303525598355
0.07086614173228346,0.07077381612242001,0.028377146781707763,0.1606040513918058
0.07874015748031496,0.08211893690840424,0.03151169083989597,0.1791469034934882
0.08661417322834646,0.09382400436627433,0.03409006797579538,0.19801386967539464
0.09448818897637795,0.1059782218298827,0.03591882388370276,0.2171067429131262
0.10236220472440945,0.11856414988211403,0.03685337456197905,0.23633132475492985
0.11023622047244094,0.131586884295134,0.03674588379335599,0.25555175364481103
0.11811023622047244,0.14501184181162977,0.03553549160493964,0.27457714648020065
0.12598425196850394,0.1587703249401189,0.03325940663385462,0.2931582587015165
0.13385826771653542,0.17276544023444773,0.03004823762892956,0.31101184183416886
0.14173228346456693,0.1868790694927087,0.026147305968848077,0.32785573388478223
0.14960629921259844,0.20096459985784,0.02192930247107059,0.3434188838784843
0.15748031496062992,0.2149014832809359,0.017789635348334647,0.35751887050411163
0.1653543307086614,0.22859225801362265,0.014095763828415701,0.3700657272611642
0.1732283464566929,0.24198298421221237,0.011136126987090359,0.38106291531067993
0.18110236220472442,0.25505226971233225,0.009106688218918232,0.39059071026341075
0.1889763779527559,0.2678115841638123,0.008099029829550228,0.3987735352468766
0.19685039370078738,0.2802907018386139,0.008129845716774782,0.4057565078271305
0.2047244094488189,0.29252443742748035,0.009175625212548463,0.4116825934813253
0.2125984251968504,0.30455002136657083,0.011183967580423504,0.41669113030220517
0.2204724409448819,0.3164082455710544,0.014074036395357517,0.4208997377642917
0.22834645669291337,0.32813311665912404,0.017769769336087843,0.42441070684137905
0.23622047244094488,0.33975510602297254,0.02219667154444049,0.42731241658654767
0.2440944881889764,0.35129881298874976,0.02728558973934238,0.42967629288486264
0.25196850393700787,0.36278612733198945,0.032972010777540285,0.43156060054036705
0.25984251968503935,0.3742338009455027,0.039202128934361015,0.43301230384662126
